"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16480446.9273743","4692737.4301676","4301675.97765363","3687150.83798883","4972067.03910615","7206703.91061453","10000000","11620111.7318436","27391061.452514","43743016.7597766","39111731.8435754","45960893.8547486","47636871.5083798","49072625.6983241","61930744.9395718","71864171.2511287","73072625.698324","75642458.1005586","72960893.8547486","64916201.1173185","63910614.5251396","67821229.0502793","66652368.7150838","70222692.1787709","74978013.4078212","98052501.9895973","108045520.369781","111650956.926434","112627597.550605","101762567.219897","111331648.74942","110361038.271826",
"Africa Eastern and Southern","AFE","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","236599899.3","283822326.7","279514373.8","423839386","586474731.49","713899293.468","683551300.3934","775546409.2532","927359302.2305","1116684897.2809","1423632252.0354","1435132461.1301","1246417321.2803","1336160839.7728","1134294482.8243","955028050.5969","1138884723.7383","1281708229.6026","1292323125.5109","1373341370.3192","1531273834.30812","1182024792.55887","1111638543.19072","977299861.563929","943491721.629798","1118429581.84625","906140764.989689","1138290561.99838","1182221150.36677","1535911818.5314","1679660277.11072","1467470662.14875","1447000637.96547","1594327556.06107","1797249966.63257","1896043887.60262","2115442387.42768","2513039712.14601","2760142159.77103","2922784447.56795","3162757335.62017","3993999311.2844","5297552971.35311","5726217719.03485","6397281394.17819","5086994701.15425","4369787167.50952","4632236667.64054","5063078340.00299","4852354728.54962","4977860606.461","4959971936.05855","3263676682.66596",
"Afghanistan","AFG","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216603835.92","624996676.79","788698416.8004","454083461.9711","323642538.268423","444730790.483326","524163478.528778","228991809.215134","167894464.282526","143979106.230961","234618700.600525","217292317.990937","225420606.479917","","",
"Africa Western and Central","AFW","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","66571205.384","316663083.093","411576879.948","707827702.26","999102012.163","1479642627.341","1921705599.165","1472711851.2897","1380184979.0438","1363155740.2932","1224842869.5574","1213010759.1354","1388437270.5623","1356902228.4803","1334993139.626","1106903164.2856","1243457420.08093","1225759502.70674","1320336791.57982","1223395341.52505","932485683.226598","874126820.985273","962138137.996576","897535152.398951","920778220.395877","862537309.228507","726586260.63695","742874610.268111","939073061.129278","1149173590.60363","1167618464.04833","1396177600.78315","1370475667.80396","1616423128.56168","1798809757.73294","1941660245.00511","2197706934.11485","2320543684.58677","2801869516.42413","2951823432.94353","2963446305.47784","6049161328.61973","4979107918.44468","3922327096.76426","3928023729.20901","3631313133.50802","3631342960.71242","3304813131.00836","247198106.510321",
"Angola","AGO","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","79000000","89000000","77000000","71000000","104000000","150000000","124500000","121637000","132900000","148900000","209546000","173802000","179950000","201650000","263070000","266290000","216060000","223507959.12","229849970","296009591.2","214905215.9","412666784.97","602671451.28","669453676","715962015.82","714458886","564261541.640106","2051320868.26326","2395965855.79732","2746615873.18541","1252909011.69","1176110313.56","961415276.24","681627015.492267","549082042.551059","576471436.778989","445400143.824058","517668187.39298",
"Albania","ALB","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4135728.07","4863740.36","6511798.04614106","26532132.0306529","9940000","279685288.700009","229819782.333038","209306821.565656","150855105.344629","215775643.88998","190551293.64341","178722842.218417","153312400.478059","147156757.388012","106330982.912761","114879336.943132","119679640.769479","124630375.669198","140344309.701299","149489653.212121",
"Andorra","AND","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91484853.444657","83804274.980466","70514090.7029224","",
"Arab World","ARB","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","207273315.4","267808471.7","391195251.5","629195808.4","1376642801.24","1939672279.34","3525187310.761","5205466032.044","6091302764.7609","7072544826.913","8910686520.4489","9203241463.869","9690140968.233","9212341103.139","9275799435.491","8410995231.385","8251911311.331","9921022721.797","12037563949.039","13914198647.2775","16142240139.8767","16642573420.0453","19441171179.3542","21969647621.0296","20686266649.3815","19447665639.366","19396284599.7701","19382478423.5258","18531619440.8023","20426443035.5515","20784032006.0407","23920666799.5902","24919634710.9473","24612476301.1537","26087047074.1773","29612133137.9419","36448770052.2657","45708542136.1498","53500976465.9863","54239338856.3516","67661826415.1486","74494429135.4471","85596649517.1958","87003954093.6243","86616836929.8802","84701505741.4299","81955127495.1906","80930124791.7608","78793674347.1307","76774850395.1952","82820406938.7542","70260888257.0738",
"United Arab Emirates","ARE","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","16000000","28000000","36000000","27000000","18000000","19000000","22000000","18000000","20000000","21000000","45360000.61","69720001.22","94080001.83","118440002.4","142800000","163100000","176600000","195200000","207300000","231700000","246500000","250300000","267700000","256100000","119550000","180410000","234470000","314010000","356443536.609755","463192097.270433","631436069.113049","766571548.308179","1037765445.69439","1137054505.60572","979205922.333175","887803486.561137","732414557.145982","685001365.914279","769242057.986733","1060484529.95531","1010375535.64433","669932291.414625","521040572.482506","596899083.055417","590412343.39639",
